judge,capability,canonical_spearman,best_std_range_spearman,best_std_spearman,gain_spearman,canonical_kendall,best_std_range_kendall,best_std_kendall,gain_kendall
Gemini-3.1-Pro,grounding,0.5970,"[0,100]",0.6316,+0.035,0.5256,"[0,100]",0.5482,+0.023
Gemini-3.1-Pro,instruction_following,0.5304,"[0,1]",0.5768,+0.046,0.4460,"[0,1]",0.4911,+0.045
Gemini-3.1-Pro,planning,0.5905,"[0,100]",0.6118,+0.021,0.5004,"[0,100]",0.5013,+0.001
Gemini-3.1-Pro,reasoning,0.5246,"[0,10]",0.5523,+0.028,0.4516,"[0,1]",0.4765,+0.025
Gemini-3.1-Pro,refinement,0.4729,"[0,1]",0.4846,+0.012,0.4042,"[0,1]",0.4143,+0.010
Gemini-3.1-Pro,safety,0.4674,"[0,10]",0.4905,+0.023,0.4088,"[1,3]",0.4298,+0.021
Gemini-3.1-Pro,theory_of_mind,0.3620,"[1,5]",0.3620,+0.000,0.3042,"[1,5]",0.3042,+0.000
Gemini-3.1-Pro,tool_usage,0.2897,"[0,10]",0.3427,+0.053,0.2463,"[0,10]",0.2867,+0.040
Gemini-3-Flash,grounding,0.5969,"[0,10]",0.6062,+0.009,0.5193,"[1,3]",0.5297,+0.010
Gemini-3-Flash,instruction_following,0.4850,"[1,3]",0.4974,+0.012,0.4126,"[1,3]",0.4373,+0.025
Gemini-3-Flash,planning,0.6082,"[0,100]",0.6451,+0.037,0.5141,"[0,100]",0.5262,+0.012
Gemini-3-Flash,reasoning,0.5575,"[0,1]",0.5793,+0.022,0.4751,"[0,1]",0.4914,+0.016
Gemini-3-Flash,refinement,0.4324,"[0,100]",0.4725,+0.040,0.3638,"[0,100]",0.3849,+0.021
Gemini-3-Flash,safety,0.4993,"[1,3]",0.5109,+0.012,0.4329,"[1,3]",0.4505,+0.018
Gemini-3-Flash,theory_of_mind,0.3352,"[0,1]",0.3658,+0.031,0.2828,"[0,1]",0.3008,+0.018
Gemini-3-Flash,tool_usage,0.3421,"[0,1]",0.3942,+0.052,0.2850,"[0,1]",0.3195,+0.034
Gemma-3-27B,grounding,0.5458,"[0,1]",0.5531,+0.007,0.4815,"[1,5]",0.4815,+0.000
Gemma-3-27B,instruction_following,0.3992,"[0,10]",0.4184,+0.019,0.3367,"[0,10]",0.3394,+0.003
Gemma-3-27B,planning,0.4993,"[1,3]",0.5112,+0.012,0.4308,"[1,3]",0.4450,+0.014
Gemma-3-27B,reasoning,0.4980,"[0,10]",0.5132,+0.015,0.4197,"[1,3]",0.4231,+0.003
Gemma-3-27B,refinement,0.3914,"[0,10]",0.3931,+0.002,0.3259,"[1,5]",0.3259,+0.000
Gemma-3-27B,safety,0.4652,"[1,5]",0.4652,+0.000,0.3967,"[1,5]",0.3967,+0.000
Gemma-3-27B,theory_of_mind,0.3880,"[1,3]",0.4036,+0.016,0.3304,"[1,3]",0.3497,+0.019
Gemma-3-27B,tool_usage,0.4047,"[0,1]",0.4392,+0.034,0.3383,"[0,1]",0.3518,+0.014
LLaMA-3.1-70B,grounding,0.5575,"[0,10]",0.5608,+0.003,0.4990,"[1,5]",0.4990,+0.000
LLaMA-3.1-70B,instruction_following,0.4373,"[1,3]",0.4788,+0.041,0.3838,"[1,3]",0.4184,+0.035
LLaMA-3.1-70B,planning,0.6051,"[1,5]",0.6051,+0.000,0.5237,"[1,5]",0.5237,+0.000
LLaMA-3.1-70B,reasoning,0.5064,"[1,5]",0.5064,+0.000,0.4407,"[1,5]",0.4407,+0.000
LLaMA-3.1-70B,refinement,0.3453,"[0,10]",0.4173,+0.072,0.2910,"[0,10]",0.3414,+0.050
LLaMA-3.1-70B,safety,0.5264,"[1,3]",0.5347,+0.008,0.4676,"[1,3]",0.4748,+0.007
LLaMA-3.1-70B,theory_of_mind,0.3725,"[0,10]",0.4209,+0.048,0.3274,"[0,10]",0.3534,+0.026
LLaMA-3.1-70B,tool_usage,0.4712,"[1,5]",0.4712,+0.000,0.4035,"[1,5]",0.4035,+0.000
Qwen3-4B,grounding,0.4214,"[0,1]",0.4832,+0.062,0.3632,"[0,1]",0.4182,+0.055
Qwen3-4B,instruction_following,0.4360,"[0,100]",0.5225,+0.087,0.3802,"[0,100]",0.4236,+0.043
Qwen3-4B,planning,0.5289,"[0,1]",0.5861,+0.057,0.4565,"[0,1]",0.4882,+0.032
Qwen3-4B,reasoning,0.5054,"[0,10]",0.5095,+0.004,0.4329,"[1,5]",0.4329,+0.000
Qwen3-4B,refinement,0.2311,"[0,10]",0.2659,+0.035,0.1917,"[1,3]",0.2096,+0.018
Qwen3-4B,safety,0.4651,"[0,10]",0.5109,+0.046,0.4113,"[0,10]",0.4295,+0.018
Qwen3-4B,theory_of_mind,0.3537,"[0,1]",0.3738,+0.020,0.3126,"[1,3]",0.3169,+0.004
Qwen3-4B,tool_usage,0.3892,"[0,100]",0.4130,+0.024,0.3226,"[1,3]",0.3298,+0.007
Gemma-2-9B,grounding,0.5120,"[0,1]",0.5203,+0.008,0.4486,"[0,1]",0.4518,+0.003
Gemma-2-9B,instruction_following,0.3693,"[1,5]",0.3693,+0.000,0.3079,"[1,5]",0.3079,+0.000
Gemma-2-9B,planning,0.5418,"[1,5]",0.5418,+0.000,0.4665,"[1,5]",0.4665,+0.000
Gemma-2-9B,reasoning,0.3667,"[0,10]",0.3708,+0.004,0.3116,"[1,5]",0.3116,+0.000
Gemma-2-9B,refinement,0.2977,"[0,10]",0.3411,+0.043,0.2398,"[0,100]",0.2752,+0.035
Gemma-2-9B,safety,0.5208,"[0,10]",0.5212,+0.000,0.4408,"[1,5]",0.4408,+0.000
Gemma-2-9B,theory_of_mind,0.4486,"[1,5]",0.4486,+0.000,0.3866,"[1,5]",0.3866,+0.000
Gemma-2-9B,tool_usage,0.4494,"[1,5]",0.4494,+0.000,0.3699,"[1,5]",0.3699,+0.000
LLaMA-3.1-8B,grounding,0.3398,"[0,1]",0.3681,+0.028,0.2993,"[0,1]",0.3159,+0.017
