judge,dataset,metric,scale,spearman,kendall,n
gemma2_9b,summeval,coh,3,0.530001,0.449154,1600
gemma2_9b,summeval,coh,5,0.594594,0.494613,1600
gemma2_9b,summeval,coh,7,0.610050,0.505090,1600
gemma2_9b,summeval,con,3,0.465752,0.441785,1600
gemma2_9b,summeval,con,5,0.462544,0.416364,1600
gemma2_9b,summeval,con,7,0.450814,0.403160,1600
gemma2_9b,summeval,flu,3,0.291466,0.268218,1600
gemma2_9b,summeval,flu,5,0.276343,0.253538,1600
gemma2_9b,summeval,flu,7,0.292697,0.262512,1598
gemma2_9b,summeval,rel,3,0.553240,0.474010,1600
gemma2_9b,summeval,rel,5,0.545667,0.457623,1600
gemma2_9b,summeval,rel,7,0.541016,0.447563,1600
gemma2_9b,newsroom,coh,3,0.444622,0.376038,420
gemma2_9b,newsroom,coh,5,0.483873,0.405297,419
gemma2_9b,newsroom,coh,7,0.468916,0.388204,419
gemma2_9b,newsroom,flu,3,0.488552,0.416146,413
gemma2_9b,newsroom,flu,5,0.517053,0.426068,420
gemma2_9b,newsroom,flu,7,0.535170,0.441872,420
gemma2_9b,newsroom,inf,3,0.497288,0.418086,418
gemma2_9b,newsroom,inf,5,0.510372,0.416597,418
gemma2_9b,newsroom,inf,7,0.522087,0.420560,418
gemma2_9b,newsroom,rel,3,0.430970,0.363588,420
gemma2_9b,newsroom,rel,5,0.476444,0.389812,420
gemma2_9b,newsroom,rel,7,0.541082,0.441267,420
gemma2_9b,tc,coh,3,0.568954,0.509310,360
gemma2_9b,tc,coh,5,0.576885,0.493196,359
gemma2_9b,tc,coh,7,0.586710,0.493672,359
gemma2_9b,tc,eng,3,0.652826,0.565608,355
gemma2_9b,tc,eng,5,0.672983,0.566810,357
gemma2_9b,tc,eng,7,0.674413,0.563094,356
gemma2_9b,tc,gro,3,0.647533,0.586903,342
gemma2_9b,tc,gro,5,0.601047,0.527005,351
gemma2_9b,tc,gro,7,0.623283,0.550126,353
gemma2_9b,tc,nat,3,0.501728,0.422009,341
gemma2_9b,tc,nat,5,0.582647,0.474232,340
gemma2_9b,tc,nat,7,0.562179,0.454867,338
gemma2_9b,wp_a,coh,3,0.492499,0.415004,400
gemma2_9b,wp_a,coh,5,0.496525,0.412653,400
gemma2_9b,wp_a,coh,7,0.492245,0.400138,400
gemma2_9b,wp_a,enj,3,0.445228,0.367492,400
gemma2_9b,wp_a,enj,5,0.443500,0.361482,400
gemma2_9b,wp_a,enj,7,0.458252,0.365302,400
gemma2_9b,wp_a,gra,3,0.287742,0.244258,400
gemma2_9b,wp_a,gra,5,0.382778,0.319750,399
gemma2_9b,wp_a,gra,7,0.414339,0.337139,399
