judge,dataset,metric,scale,spearman,kendall,n
gemma2_9b,summeval,coh,3,0.520140,0.455667,100
gemma2_9b,summeval,coh,5,0.583134,0.506318,100
gemma2_9b,summeval,coh,7,0.609087,0.524644,100
gemma2_9b,summeval,con,3,0.483179,0.463332,95
gemma2_9b,summeval,con,5,0.484073,0.446194,96
gemma2_9b,summeval,con,7,0.464989,0.426561,96
gemma2_9b,summeval,flu,3,0.288986,0.270580,98
gemma2_9b,summeval,flu,5,0.288348,0.269538,98
gemma2_9b,summeval,flu,7,0.289471,0.266490,98
gemma2_9b,summeval,rel,3,0.525619,0.465027,100
gemma2_9b,summeval,rel,5,0.518261,0.453298,100
gemma2_9b,summeval,rel,7,0.502151,0.431872,100
gemma2_9b,newsroom,coh,3,0.453234,0.405689,56
gemma2_9b,newsroom,coh,5,0.473516,0.423075,60
gemma2_9b,newsroom,coh,7,0.474197,0.423089,60
gemma2_9b,newsroom,flu,3,0.529599,0.475553,55
gemma2_9b,newsroom,flu,5,0.550382,0.485396,60
gemma2_9b,newsroom,flu,7,0.562259,0.492396,60
gemma2_9b,newsroom,inf,3,0.492523,0.443183,59
gemma2_9b,newsroom,inf,5,0.499187,0.437958,60
gemma2_9b,newsroom,inf,7,0.499653,0.442233,60
gemma2_9b,newsroom,rel,3,0.381858,0.340874,60
gemma2_9b,newsroom,rel,5,0.415737,0.356577,59
gemma2_9b,newsroom,rel,7,0.508223,0.439059,60
gemma2_9b,tc,coh,3,0.593999,0.555330,48
gemma2_9b,tc,coh,5,0.585406,0.538196,50
gemma2_9b,tc,coh,7,0.590763,0.540889,50
gemma2_9b,tc,eng,3,0.707559,0.654576,49
gemma2_9b,tc,eng,5,0.728761,0.663183,50
gemma2_9b,tc,eng,7,0.730131,0.663110,50
gemma2_9b,tc,gro,3,0.718290,0.681399,48
gemma2_9b,tc,gro,5,0.721897,0.680978,50
gemma2_9b,tc,gro,7,0.761833,0.718805,50
gemma2_9b,tc,nat,3,0.528762,0.474083,44
gemma2_9b,tc,nat,5,0.590198,0.531513,49
gemma2_9b,tc,nat,7,0.572534,0.506939,48
gemma2_9b,wp_a,coh,3,0.492499,0.415004,400
gemma2_9b,wp_a,coh,5,0.496525,0.412653,400
gemma2_9b,wp_a,coh,7,0.492245,0.400138,400
gemma2_9b,wp_a,enj,3,0.445228,0.367492,400
gemma2_9b,wp_a,enj,5,0.443500,0.361482,400
gemma2_9b,wp_a,enj,7,0.458252,0.365302,400
gemma2_9b,wp_a,gra,3,0.287742,0.244258,400
gemma2_9b,wp_a,gra,5,0.382778,0.319750,399
gemma2_9b,wp_a,gra,7,0.414339,0.337139,399
gemma2_9b,wp_a,rel,3,0.520813,0.432270,400
gemma2_9b,wp_a,rel,5,0.552144,0.447774,400
gemma2_9b,wp_a,rel,7,0.594162,0.476723,400
gemma3_27b,summeval,coh,3,0.534084,0.469344,99
gemma3_27b,summeval,coh,5,0.606021,0.529556,99
gemma3_27b,summeval,coh,7,0.596774,0.515440,100
gemma3_27b,summeval,con,3,0.645799,0.624922,83
gemma3_27b,summeval,con,5,0.640961,0.618391,94
gemma3_27b,summeval,con,7,0.489804,0.463532,95
gemma3_27b,summeval,flu,3,0.244119,0.231768,95
gemma3_27b,summeval,flu,5,0.322241,0.302261,98
gemma3_27b,summeval,flu,7,0.317609,0.299390,98
gemma3_27b,summeval,rel,3,0.431293,0.383156,97
gemma3_27b,summeval,rel,5,0.466184,0.410432,100
gemma3_27b,summeval,rel,7,0.491948,0.428771,100
gemma3_27b,newsroom,coh,3,0.451725,0.407572,58
gemma3_27b,newsroom,coh,5,0.528775,0.476305,60
gemma3_27b,newsroom,coh,7,0.585563,0.527708,58
gemma3_27b,newsroom,flu,3,0.465475,0.419758,59
gemma3_27b,newsroom,flu,5,0.524628,0.465209,60
gemma3_27b,newsroom,flu,7,0.476710,0.422727,60
gemma3_27b,newsroom,inf,3,0.491523,0.433967,59
gemma3_27b,newsroom,inf,5,0.491724,0.422804,60
gemma3_27b,newsroom,inf,7,0.548077,0.473833,58
gemma3_27b,newsroom,rel,3,0.488478,0.438288,59
gemma3_27b,newsroom,rel,5,0.513822,0.451872,60
gemma3_27b,newsroom,rel,7,0.547883,0.484682,60
gemma3_27b,tc,coh,3,0.471683,0.431791,49
gemma3_27b,tc,coh,5,0.592153,0.541260,50
gemma3_27b,tc,coh,7,0.540231,0.486699,49
gemma3_27b,tc,eng,3,0.574131,0.526203,45
gemma3_27b,tc,eng,5,0.558711,0.510810,50
gemma3_27b,tc,eng,7,0.648628,0.587713,49
gemma3_27b,tc,gro,3,0.505316,0.473451,46
gemma3_27b,tc,gro,5,0.640717,0.591473,49
gemma3_27b,tc,gro,7,0.643901,0.598889,50
gemma3_27b,tc,nat,3,0.444512,0.400310,41
gemma3_27b,tc,nat,5,0.589620,0.528142,49
gemma3_27b,tc,nat,7,0.620282,0.557691,49
gemma3_27b,wp_a,coh,3,0.486226,0.403948,400
gemma3_27b,wp_a,coh,5,0.515441,0.414051,400
gemma3_27b,wp_a,coh,7,0.543392,0.431519,400
gemma3_27b,wp_a,enj,3,0.386391,0.318791,400
gemma3_27b,wp_a,enj,5,0.420932,0.340814,400
gemma3_27b,wp_a,enj,7,0.421337,0.327286,400
gemma3_27b,wp_a,gra,3,0.332469,0.288456,400
gemma3_27b,wp_a,gra,5,0.350132,0.296412,400
gemma3_27b,wp_a,gra,7,0.393393,0.320543,400
gemma3_27b,wp_a,rel,3,0.575660,0.475462,400
gemma3_27b,wp_a,rel,5,0.613656,0.494288,400
gemma3_27b,wp_a,rel,7,0.624033,0.499013,400
qwen3_4b,summeval,coh,3,0.377467,0.331282,68
qwen3_4b,summeval,coh,5,0.398246,0.349051,71
qwen3_4b,summeval,coh,7,0.392498,0.341648,83
qwen3_4b,summeval,con,3,0.559334,0.540021,53
qwen3_4b,summeval,con,5,0.373730,0.361417,44
qwen3_4b,summeval,con,7,0.392708,0.370947,95
qwen3_4b,summeval,flu,3,0.604599,0.590129,2
qwen3_4b,summeval,flu,5,0.119829,0.113583,78
qwen3_4b,summeval,flu,7,0.234894,0.224032,94
qwen3_4b,summeval,rel,3,0.340989,0.301853,40
qwen3_4b,summeval,rel,5,0.270980,0.240050,53
qwen3_4b,summeval,rel,7,0.295557,0.261116,89
qwen3_4b,newsroom,coh,3,0.407436,0.371500,54
qwen3_4b,newsroom,coh,5,0.406729,0.366760,56
qwen3_4b,newsroom,coh,7,0.443632,0.395495,59
qwen3_4b,newsroom,flu,3,-0.519675,-0.468293,1
qwen3_4b,newsroom,flu,5,-0.278752,-0.252870,51
qwen3_4b,newsroom,flu,7,-0.122569,-0.110009,59
qwen3_4b,newsroom,inf,3,0.472104,0.421557,37
qwen3_4b,newsroom,inf,5,0.523403,0.474410,48
qwen3_4b,newsroom,inf,7,0.423669,0.375764,59
qwen3_4b,newsroom,rel,3,0.507583,0.461526,58
qwen3_4b,newsroom,rel,5,0.517443,0.470667,52
qwen3_4b,newsroom,rel,7,0.542060,0.483560,60
qwen3_4b,tc,coh,3,0.275306,0.260421,44
